English Term,Lemma,IPA,Russian Pronunciation,Russian Translation,POS Mode,Part of Speech (EN),Part of Speech (RU),Frequency
suitable,suitable,ˈsutəbəl,сутэбл,подходящий,wordnet,adj,прилагательное,1
suited,suited,ˈsutɪd,сутид,подходит,wordnet,verb,глагол,1
sum,sum,səm,см,сумма,wordnet,noun,существительное,65
summarize,summarize,ˈsəmərˌaɪz,смэрайз,подвести итог,wordnet,verb,глагол,12
summarized,summarized,ˈsəmərˌaɪzd,смэрайзд,обобщенный,wordnet,verb,глагол,10
summarizes,summarizes,ˈsəmərˌaɪzɪz,смэрайзиз,обобщает,wordnet,verb,глагол,2
summarizing,summarizing,ˈsəmərˌaɪzɪŋ,смэрайзин,подведение итогов,wordnet,verb,глагол,24
summary,summary,ˈsəməri,смэри,краткое содержание,wordnet,noun,существительное,92
summing,summing,ˈsəmɪŋ,смин,суммирование,wordnet,verb,глагол,3
sun,sun,sən,сн,солнце,wordnet,noun,существительное,6
sunday,sunday,ˈsənˌdi,снди,воскресенье,wordnet,noun,существительное,4
super,super,ˈsupər,супэр,супер,wordnet,noun,существительное,9
supercharged,supercharged,ˌsupərˈʧɑrʤd,супэрчарджд,с наддувом,wordnet,verb,глагол,1
supercomputer,supercomputer,ˌsupərkəmˈpjutər,супэркмпйутэр,суперкомпьютер,wordnet,noun,существительное,1
supervision,supervision,ˌsupərˈvɪʒən,супэрвижн,надзор,wordnet,noun,существительное,1
support,support,səˈpɔrt,сэпорт,поддерживать,wordnet,noun,существительное,5
supported,supported,səˈpɔrtɪd,сэпортид,поддерживается,wordnet,verb,глагол,7
supporting,supporting,səˈpɔrtɪŋ,сэпортин,поддержка,wordnet,noun,существительное,1
sure,sure,ʃʊr,шур,конечно,wordnet,adj,прилагательное,53
surely,surely,ˈʃʊrli,шурли,конечно,wordnet,adv,наречие,1
surface,surface,ˈsərfəs,сэрфэс,поверхность,wordnet,noun,существительное,1
surprise,surprise,səˈpraɪz,сэпрайз,сюрприз,wordnet,noun,существительное,3
surprised,surprised,səˈpraɪzd,сэпрайзд,удивлен,wordnet,verb,глагол,1
surprising,surprising,səˈpraɪzɪŋ,сэпрайзин,удивительно,wordnet,verb,глагол,3
surprisingly,surprisingly,səˈpraɪzɪŋli,сэпрайзинли,удивительно,wordnet,adv,наречие,1
surrounding,surrounding,sərˈaʊndɪŋ,сэраундин,окружающий,wordnet,verb,глагол,2
suspicious,suspicious,səˈspɪʃəs,сэспишэс,подозрительный,wordnet,adj,прилагательное,3
sweater,sweater,sˈwɛtər,суэтэр,свитер,wordnet,noun,существительное,1
sweetest,sweetest,sˈwitəst,суитэст,самый сладкий,wordnet,adj,прилагательное,1
swift,swift,swɪft,суифт,быстрый,wordnet,noun,существительное,1
swiss,swiss,swɪs,суис,швейцарский,wordnet,noun,существительное,1
switch,switch,swɪʧ,суич,выключатель,wordnet,noun,существительное,2
swoop,swoop,swup,сууп,налет,wordnet,noun,существительное,16
symbol,symbol,ˈsɪmbəl,симбл,символ,wordnet,noun,существительное,2
synonym,synonym,ˈsɪnəˌnɪm,синним,синоним,wordnet,noun,существительное,2
syntax,syntax,ˈsɪnˌtæks,синтэкс,синтаксис,wordnet,noun,существительное,73
synthetic,synthetic,sɪnˈθɛtɪk,синсэтик,синтетический,wordnet,noun,существительное,1
system,system,ˈsɪstəm,систм,система,wordnet,noun,существительное,13
tab,tab,tæb,тэб,вкладка,wordnet,noun,существительное,36
table,table,ˈteɪbəl,тэйбл,стол,wordnet,noun,существительное,319
tackle,tackle,ˈtækəl,тэкл,взяться,wordnet,noun,существительное,8
tackling,tackling,ˈtækəlɪŋ,тэклин,борьба,wordnet,verb,глагол,3
tail,tail,teɪl,тэйл,хвост,wordnet,noun,существительное,1
tailored,tailored,ˈteɪlərd,тэйлэрд,адаптированный,wordnet,verb,глагол,1
take,take,teɪk,тэйк,брать,wordnet,noun,существительное,219
taken,taken,ˈteɪkən,тэйкн,взятый,wordnet,verb,глагол,4
taking,taking,ˈteɪkɪŋ,тэйкин,принимая,wordnet,noun,существительное,34
tale,tale,teɪl,тэйл,сказка,wordnet,noun,существительное,1
talk,talk,tɔk,ток,разговаривать,wordnet,noun,существительное,6
talking,talking,ˈtɔkɪŋ,токин,говорить,wordnet,noun,существительное,4
tally,tally,ˈtæli,тэли,подсчет,wordnet,noun,существительное,1
tame,tame,teɪm,тэйм,приручить,wordnet,verb,глагол,1
tamed,tamed,teɪmd,тэймд,прирученный,wordnet,verb,глагол,3
tang,tang,tɑŋ,тан,Тан,wordnet,noun,существительное,3
tangible,tangible,ˈtænʤəbəl,тэнджэбл,заметный,wordnet,adj,прилагательное,1
tar,tar,tɑr,тар,смола,wordnet,noun,существительное,1
target,target,ˈtərgət,тэргэт,цель,wordnet,noun,существительное,30
tart,tart,tɑrt,тарт,пирог,wordnet,noun,существительное,1
task,task,tæsk,тэск,задача,wordnet,noun,существительное,18
tasked,tasked,tæskt,тэскт,поручено,wordnet,verb,глагол,1
tasking,tasking,ˈtæskɪŋ,тэскин,постановка задач,wordnet,verb,глагол,1
taste,taste,teɪst,тэйст,вкус,wordnet,noun,существительное,2
taught,taught,tɔt,тот,учил,wordnet,verb,глагол,1
tea,tea,ti,ти,чай,wordnet,noun,существительное,1
teach,teach,tiʧ,тич,учить,wordnet,noun,существительное,6
teaching,teaching,ˈtiʧɪŋ,тичин,преподавание,wordnet,noun,существительное,4
team,team,tim,тим,команда,wordnet,noun,существительное,10
technical,technical,ˈtɛknɪkəl,тэкникл,технический,wordnet,noun,существительное,5
technically,technically,ˈtɛknɪkəli,тэкникли,технически,wordnet,adv,наречие,1
technique,technique,tɛkˈnik,тэкник,техника,wordnet,noun,существительное,5
technology,technology,tɛkˈnɑləʤi,тэкналэджи,технология,wordnet,noun,существительное,5
tedious,tedious,ˈtidiəs,тидиэс,скучный,wordnet,adj,прилагательное,2
telecommunication,telecommunication,ˌtɛləkəmˌjunɪˈkeɪʃən,тэлэкмйуникэйшн,телекоммуникации,wordnet,noun,существительное,1
television,television,ˈtɛləˌvɪʒən,тэлэвижн,телевидение,wordnet,noun,существительное,3
tell,tell,tɛl,тэл,рассказывать,wordnet,noun,существительное,8
telling,telling,ˈtɛlɪŋ,тэлин,рассказывать,wordnet,noun,существительное,1
temp,temp,tɛmp,тэмп,температура,wordnet,noun,существительное,329
temperature,temperature,ˈtɛmpərəʧər,тэмпэрэчэр,температура,wordnet,noun,существительное,67
template,template,ˈtɛmplət,тэмплэт,шаблон,wordnet,noun,существительное,8
temporarily,temporarily,ˌtɛmpərˈɛrəli,тэмпэрэрли,временно,wordnet,adv,наречие,3
temporary,temporary,ˈtɛmpərˌɛri,тэмпэрэри,временный,wordnet,noun,существительное,5
tempted,tempted,ˈtɛmptɪd,тэмптид,искушенный,wordnet,verb,глагол,3
tempting,tempting,ˈtɛmptɪŋ,тэмптин,заманчиво,wordnet,verb,глагол,2
ten,ten,tɛn,тэн,десять,wordnet,noun,существительное,1
tend,tend,tɛnd,тэнд,иметь тенденцию,wordnet,verb,глагол,5
tenure,tenure,ˈtɛnjər,тэнйэр,срок владения,wordnet,noun,существительное,2
terabyte,terabyte,ˌtɛrəˈbaɪt,тэрэбайт,терабайт,wordnet,noun,существительное,1
term,term,tərm,тэрм,срок,wordnet,noun,существительное,28
terminal,terminal,ˈtərmənəl,тэрмнл,Терминал,wordnet,noun,существительное,11
terminology,terminology,ˌtərmɪˈnɑləʤi,тэрминалэджи,терминология,wordnet,noun,существительное,4
territory,territory,ˈtɛrɪˌtɔri,тэритори,территория,wordnet,noun,существительное,2
terse,terse,tərs,тэрс,краткий,wordnet,adj,прилагательное,3
terseness,terseness,ˈtərsnəs,тэрснэс,краткость,wordnet,noun,существительное,3
test,test,tɛst,тэст,тест,wordnet,noun,существительное,78
tested,tested,ˈtɛstɪd,тэстид,проверено,wordnet,verb,глагол,1
testing,testing,ˈtɛstɪŋ,тэстин,тестирование,wordnet,noun,существительное,19
text,text,tɛkst,тэкст,текст,wordnet,noun,существительное,120
textbook,textbook,ˈtɛkstˌbʊk,тэкстбук,учебник,wordnet,noun,существительное,1
textual,textual,ˈtɛksˌʧuəl,тэксчул,текстовый,wordnet,adj,прилагательное,6
thank,thank,θæŋk,сэнк,благодарить,wordnet,verb,глагол,15
thanks,thanks,θæŋks,сэнкс,Спасибо,wordnet,noun,существительное,3
theoretically,theoretically,ˌθiərˈɛtɪkəli,сиэрэтикли,теоретически,wordnet,adv,наречие,2
theory,theory,ˈθɪri,сири,теория,wordnet,noun,существительное,5
therefore,therefore,ˈðɛrˌfɔr,зэрфор,поэтому,wordnet,adv,наречие,16
theta,theta,ˈθeɪtə,сэйтэ,тэта,wordnet,noun,существительное,2
thin,thin,θɪn,син,тонкий,wordnet,verb,глагол,2
thing,thing,θɪŋ,син,вещь,wordnet,noun,существительное,37
think,think,θɪŋk,синк,думать,wordnet,noun,существительное,63
thinking,thinking,ˈθɪŋkɪŋ,синкин,мышление,wordnet,noun,существительное,15
third,third,θərd,сэрд,третий,wordnet,noun,существительное,18
thorough,thorough,θəroʊ,сэроу,тщательный,wordnet,adj,прилагательное,1
thoroughly,thoroughly,ˈθəroʊli,сэроули,тщательно,wordnet,adv,наречие,1
though,though,ðoʊ,зоу,хотя,wordnet,adv,наречие,9
thought,thought,θɔt,сот,мысль,wordnet,noun,существительное,23
thousand,thousand,ˈθaʊzənd,саузнд,тысяча,wordnet,noun,существительное,4
thread,thread,θrɛd,срэд,нить,wordnet,noun,существительное,1
threadbare,threadbare,θˈrɛdˌbɛr,срэдбэр,изношенный,wordnet,adj,прилагательное,1
three,three,θri,сри,три,wordnet,noun,существительное,138
thresh,thresh,θrɛʃ,срэш,молотить,wordnet,verb,глагол,3
threshold,threshold,θˈrɛˌʃoʊld,срэшоулд,порог,wordnet,noun,существительное,9
throughout,throughout,θruaʊt,сруаут,через,wordnet,adv,наречие,13
throw,throw,θroʊ,сроу,бросать,wordnet,noun,существительное,2
throwaway,throwaway,θˈroʊəˌweɪ,сроуауэй,выбросить,wordnet,noun,существительное,1
throwing,throwing,θroʊɪŋ,сроуин,бросание,wordnet,verb,глагол,5
thumb,thumb,θəm,см,большой палец,wordnet,noun,существительное,2
thunk,thunk,θənk,снк,думать,wordnet,noun,существительное,2
thus,thus,ðəs,зэс,таким образом,wordnet,noun,существительное,10
ticket,ticket,ˈtɪkɪt,тикит,билет,wordnet,noun,существительное,1
tidy,tidy,ˈtaɪdi,тайди,аккуратный,wordnet,noun,существительное,1
tie,tie,taɪ,тай,галстук,wordnet,noun,существительное,9
tied,tied,taɪd,тайд,связанный,wordnet,verb,глагол,9
tightest,tightest,ˈtaɪtəst,тайтэст,самый тесный,wordnet,adj,прилагательное,1
tile,tile,taɪl,тайл,плитка,wordnet,noun,существительное,13
tim,tim,tɪm,тим,Тим,wordnet,,,1
time,time,taɪm,тайм,время,wordnet,noun,существительное,204
timeline,timeline,ˈtaɪmlaɪn,таймлайн,график времени,wordnet,noun,существительное,4
tip,tip,tɪp,тип,кончик,wordnet,noun,существительное,47
tiramisu,tiramisu,ˌtɪrəˈmɪˌsu,тирэмису,тирамису,wordnet,noun,существительное,1
tired,tired,taɪərd,тайэрд,усталый,wordnet,verb,глагол,1
title,title,ˈtaɪtəl,тайтл,заголовок,wordnet,noun,существительное,12
today,today,təˈdeɪ,тэдэй,сегодня,wordnet,noun,существительное,3
together,together,təˈgɛðər,тэгэзэр,вместе,wordnet,adj,прилагательное,36
token,token,ˈtoʊkən,тоукн,жетон,wordnet,noun,существительное,17
told,told,toʊld,тоулд,сказал,wordnet,verb,глагол,1
tolerance,tolerance,ˈtɑlərəns,талэрнс,терпимость,wordnet,noun,существительное,1
tom,tom,tɑm,там,Том,wordnet,noun,существительное,1
tomorrow,tomorrow,təˈmɑˌroʊ,тэмароу,завтра,wordnet,noun,существительное,2
ton,ton,tən,тн,тонна,wordnet,noun,существительное,3
took,took,tʊk,тук,взял,wordnet,verb,глагол,9
tool,tool,tul,тул,инструмент,wordnet,noun,существительное,52
toolbox,toolbox,ˈtulˌbɔks,тулбокс,ящик для инструментов,wordnet,noun,существительное,4
tooling,tooling,ˈtulɪŋ,тулин,оснастка,wordnet,verb,глагол,1
top,top,tɔp,топ,вершина,wordnet,noun,существительное,125
topic,topic,ˈtɑpɪk,тапик,тема,wordnet,noun,существительное,21
torture,torture,ˈtɔrʧər,торчэр,пытка,wordnet,noun,существительное,2
toshiba,toshiba,toʊˈʃibə,тоушибэ,Тошиба,wordnet,,,3
total,total,ˈtoʊtəl,тоутл,общий,wordnet,noun,существительное,39
totally,totally,ˈtoʊtəli,тоутли,полностью,wordnet,adv,наречие,1
touch,touch,təʧ,тэч,трогать,wordnet,noun,существительное,5
tough,tough,təf,тэф,жесткий,wordnet,noun,существительное,1
tour,tour,tʊr,тур,тур,wordnet,noun,существительное,2
toward,toward,təˈwɔrd,тэуорд,к,wordnet,,,2
tower,tower,taʊər,тауэр,башня,wordnet,noun,существительное,1
town,town,taʊn,таун,город,wordnet,noun,существительное,2
trace,trace,treɪs,трэйс,след,wordnet,noun,существительное,13
track,track,træk,трэк,отслеживать,wordnet,noun,существительное,10
tracking,tracking,ˈtrækɪŋ,трэкин,отслеживание,wordnet,noun,существительное,1
trade,trade,treɪd,трэйд,торговля,wordnet,noun,существительное,12
trademark,trademark,ˈtreɪdˌmɑrk,трэйдмарк,товарный знак,wordnet,noun,существительное,2
tradeoff,tradeoff,ˈtreɪˌdɔf,трэйдоф,компромисс,wordnet,noun,существительное,1
traditional,traditional,trəˈdɪʃənəl,трэдишнл,традиционный,wordnet,adj,прилагательное,3
trail,trail,treɪl,трэйл,тащить,wordnet,noun,существительное,3
trailing,trailing,ˈtreɪlɪŋ,трэйлин,тянущийся,wordnet,noun,существительное,2
train,train,treɪn,трэйн,тренироваться,wordnet,noun,существительное,22
trained,trained,treɪnd,трэйнд,обученный,wordnet,verb,глагол,5
training,training,ˈtreɪnɪŋ,трэйнин,обучение,wordnet,noun,существительное,44
transaction,transaction,trænˈzækʃən,трэнзэкшн,сделка,wordnet,noun,существительное,1
transcend,transcend,trænˈsɛnd,трэнсэнд,превосходить,wordnet,verb,глагол,1
transfer,transfer,ˈtrænsfər,трэнсфэр,передача,wordnet,noun,существительное,2
transform,transform,ˈtrænsfɔrm,трэнсформ,трансформировать,wordnet,verb,глагол,135
transformation,transformation,ˌtrænsfərˈmeɪʃən,трэнсфэрмэйшн,трансформация,wordnet,noun,существительное,216
transformed,transformed,trænsˈfɔrmd,трэнсформд,преобразованный,wordnet,verb,глагол,28
transformer,transformer,trænsˈfɔrmər,трэнсформэр,трансформатор,wordnet,noun,существительное,355
transforming,transforming,trænsˈfɔrmɪŋ,трэнсформин,преобразование,wordnet,verb,глагол,13
transforms,transforms,trænsˈfɔrmz,трэнсформз,трансформирует,wordnet,verb,глагол,12
transition,transition,trænˈzɪʃən,трэнзишн,переход,wordnet,noun,существительное,3
transitional,transitional,trænˈzɪʃənəl,трэнзишнл,переходный,wordnet,adj,прилагательное,4
transitioning,transitioning,trænˈzɪʃənɪŋ,трэнзишнин,переходный,wordnet,verb,глагол,1
translate,translate,trænzˈleɪt,трэнзлэйт,переводить,wordnet,verb,глагол,6
translated,translated,trænzˈleɪtəd,трэнзлэйтэд,переведено,wordnet,verb,глагол,3
translates,translates,ˈtrænsˌleɪts,трэнслэйтс,переводит,wordnet,verb,глагол,9
translating,translating,ˈtrænsˌleɪtɪŋ,трэнслэйтин,перевод,wordnet,verb,глагол,3
translation,translation,trænzˈleɪʃən,трэнзлэйшн,перевод,wordnet,noun,существительное,5
transmitted,transmitted,trænzˈmɪtəd,трэнзмитэд,переданный,wordnet,verb,глагол,1
trap,trap,træp,трэп,ловушка,wordnet,noun,существительное,1
trapped,trapped,træpt,трэпт,в ловушке,wordnet,verb,глагол,1
travel,travel,ˈtrævəl,трэвл,путешествовать,wordnet,noun,существительное,1
treat,treat,trit,трит,обращаться,wordnet,noun,существительное,9
treated,treated,ˈtritɪd,тритид,обработанный,wordnet,verb,глагол,2
treating,treating,ˈtritɪŋ,тритин,лечение,wordnet,verb,глагол,3
treatment,treatment,ˈtritmənt,тритмнт,уход,wordnet,noun,существительное,2
tree,tree,tri,три,дерево,wordnet,noun,существительное,11
tremendous,tremendous,trɪˈmɛndəs,тримэндэс,огромный,wordnet,adj,прилагательное,2
tremendously,tremendously,trɪˈmɛndəsli,тримэндэсли,чрезвычайно,wordnet,adv,наречие,4
trended,trended,ˈtrɛndɪd,трэндид,трендовый,wordnet,verb,глагол,1
trevor,trevor,ˈtrɛvər,трэвэр,Тревор,wordnet,,,3
trial,trial,traɪəl,трайл,пробный,wordnet,noun,существительное,1
trick,trick,trɪk,трик,обманывать,wordnet,noun,существительное,14
trickier,trickier,ˈtrɪkiər,трикиэр,сложнее,wordnet,adj,прилагательное,1
tricky,tricky,ˈtrɪki,трики,сложный,wordnet,adj,прилагательное,2
tried,tried,traɪd,трайд,пытался,wordnet,verb,глагол,5
trigger,trigger,ˈtrɪgər,тригэр,курок,wordnet,noun,существительное,9
triggered,triggered,ˈtrɪgərd,тригэрд,сработало,wordnet,verb,глагол,5
triggering,triggering,ˈtrɪgərɪŋ,тригэрин,запуск,wordnet,verb,глагол,3
trim,trim,trɪm,трим,подрезать,wordnet,noun,существительное,5
trimmed,trimmed,trɪmd,тримд,обрезанный,wordnet,verb,глагол,1
trip,trip,trɪp,трип,путешествие,wordnet,noun,существительное,4
triple,triple,ˈtrɪpəl,трипл,тройной,wordnet,noun,существительное,2
trois,trois,twɑ,туа,тройка,wordnet,,,1
troop,troop,trup,труп,отряд,wordnet,noun,существительное,1
trouble,trouble,ˈtrəbəl,трэбл,беда,wordnet,noun,существительное,2
trove,trove,troʊv,троув,сокровище,wordnet,noun,существительное,3
true,true,tru,тру,истинный,wordnet,noun,существительное,373
truly,truly,ˈtruli,трули,действительно,wordnet,adv,наречие,2
truncate,truncate,ˈtrəŋˌkeɪt,трэнкэйт,обрезать,wordnet,verb,глагол,12
truncating,truncating,ˈtrəŋˌkeɪtɪŋ,трэнкэйтин,усечение,wordnet,verb,глагол,2
trusty,trusty,ˈtrəsti,трэсти,верный,wordnet,noun,существительное,1
truth,truth,truθ,трус,правда,wordnet,noun,существительное,3
truthful,truthful,ˈtruθfəl,трусфл,правдивый,wordnet,adj,прилагательное,1
try,try,traɪ,трай,пытаться,wordnet,noun,существительное,46
trying,trying,traɪɪŋ,трайин,пытающийся,wordnet,verb,глагол,18
tudor,tudor,ˈtudər,тудэр,Тюдор,wordnet,noun,существительное,1
tune,tune,tun,тун,настраивать,wordnet,noun,существительное,2
tuned,tuned,tund,тунд,настроенный,wordnet,verb,глагол,1
tungsten,tungsten,ˈtəŋstən,тэнстн,вольфрам,wordnet,noun,существительное,1
tuning,tuning,ˈtunɪŋ,тунин,тюнинг,wordnet,noun,существительное,5
turbocharge,turbocharge,ˈtərboʊˌʧɑrʤ,тэрбоучардж,турбонаддув,wordnet,,,1
turkey,turkey,ˈtərki,тэрки,Турция,wordnet,noun,существительное,1
turn,turn,tərn,тэрн,повернуть,wordnet,noun,существительное,5
turned,turned,tərnd,тэрнд,повернулся,wordnet,verb,глагол,1
turning,turning,ˈtərnɪŋ,тэрнин,поворот,wordnet,noun,существительное,2
tweak,tweak,twik,туик,подправить,wordnet,noun,существительное,3
tweaking,tweaking,tˈwikɪŋ,туикин,настройка,wordnet,verb,глагол,1
twenty,twenty,tˈwɛnti,туэнти,двадцать,wordnet,noun,существительное,2
twice,twice,twaɪs,туайс,дважды,wordnet,adv,наречие,10
two,two,tu,ту,два,wordnet,noun,существительное,296
type,type,taɪp,тайп,тип,wordnet,noun,существительное,413
typed,typed,taɪpt,тайпт,напечатанный,wordnet,verb,глагол,12
typical,typical,ˈtɪpɪkəl,типикл,типичный,wordnet,adj,прилагательное,4
typically,typically,ˈtɪpɪkəli,типикли,обычно,wordnet,adv,наречие,3
typing,typing,ˈtaɪpɪŋ,тайпин,печатание,wordnet,noun,существительное,35
typist,typist,ˈtaɪpɪst,тайпист,машинистка,wordnet,noun,существительное,1
typo,typo,ˈtaɪpoʊ,тайпоу,опечатка,wordnet,noun,существительное,2
ultimate,ultimate,ˈəltəmət,лтмэт,окончательный,wordnet,noun,существительное,3
uma,uma,ˈjumə,йумэ,ума,wordnet,noun,существительное,1
umbrella,umbrella,ˈəmˌbrɛlə,мбрэлэ,зонтик,wordnet,noun,существительное,3
unable,unable,əˈneɪbəl,энэйбл,не могущий,wordnet,adj,прилагательное,2
unacceptable,unacceptable,ˌənækˈsɛptəbəl,нэксэптэбл,неприемлемо,wordnet,adj,прилагательное,1
unambiguous,unambiguous,ˌənæmˈbɪgjəwəs,нэмбигйэуэс,однозначный,wordnet,adj,прилагательное,3
unambiguously,unambiguously,ənæmˈbɪgjuəsli,нэмбигйуэсли,однозначно,wordnet,adv,наречие,1
unbounded,unbounded,ənˈbaʊndɪd,нбаундид,неограниченный,wordnet,adj,прилагательное,19
unchanged,unchanged,ənˈʧeɪnʤd,нчэйнджд,неизменный,wordnet,adj,прилагательное,1
uncover,uncover,ənˈkəvər,нкэвэр,раскрыть,wordnet,verb,глагол,2
uncovered,uncovered,ənˈkəvərd,нкэвэрд,раскрытый,wordnet,verb,глагол,1
uncovering,uncovering,ənˈkəvərɪŋ,нкэвэрин,раскрытие,wordnet,noun,существительное,1
undefined,undefined,ˌəndɪˈfaɪnd,ндифайнд,неопределенный,wordnet,adj,прилагательное,2
undergoes,undergoes,ˈəndərˌgoʊz,ндэргоуз,подвергается,wordnet,verb,глагол,1
underlying,underlying,ˌəndərˈlaɪɪŋ,ндэрлайин,лежащий в основе,wordnet,verb,глагол,4
underpinning,underpinning,ˈəndərˌpɪnɪŋ,ндэрпинин,подкрепляющий,wordnet,verb,глагол,1
underpinnings,underpinnings,ˈəndərˌpɪnɪŋz,ндэрпининз,основы,wordnet,,,1
underscore,underscore,ˌəndərˈskɔr,ндэрскор,подчеркивать,wordnet,noun,существительное,7
understand,understand,ˌəndərˈstænd,ндэрстэнд,понимать,wordnet,verb,глагол,42
understanding,understanding,ˌəndərˈstændɪŋ,ндэрстэндин,понимание,wordnet,noun,существительное,39
understood,understood,ˌəndərˈstʊd,ндэрстуд,понял,wordnet,verb,глагол,3
undertake,undertake,ˈəndərˌteɪk,ндэртэйк,предпринимать,wordnet,verb,глагол,2
undertaken,undertaken,ˈəndərˌteɪkən,ндэртэйкн,предпринятый,wordnet,verb,глагол,1
undertaking,undertaking,ˈəndərˌteɪkɪŋ,ндэртэйкин,предприятие,wordnet,noun,существительное,4
undesirable,undesirable,ˌəndɪˈzaɪrəbəl,ндизайрэбл,нежелательный,wordnet,noun,существительное,2
uneven,uneven,əˈnivən,энивн,неровный,wordnet,adj,прилагательное,1
unfamiliar,unfamiliar,ˌənfəˈmɪljər,нфэмилйэр,незнакомый,wordnet,adj,прилагательное,1
unfathomable,unfathomable,ənˈfæðəməbəl,нфэзмэбл,непостижимый,wordnet,adj,прилагательное,1
unfold,unfold,ənˈfoʊld,нфоулд,разворачиваться,wordnet,verb,глагол,1
unfortunate,unfortunate,ənˈfɔrʧənət,нфорчнэт,неудачный,wordnet,noun,существительное,2
unfortunately,unfortunately,ənˈfɔrʧənətli,нфорчнэтли,к сожалению,wordnet,adv,наречие,5
unified,unified,ˈjunəˌfaɪd,йунэфайд,единый,wordnet,verb,глагол,2
uniform,uniform,ˈjunəˌfɔrm,йунэформ,униформа,wordnet,noun,существительное,2
union,union,ˈjunjən,йунйн,союз,wordnet,noun,существительное,45
unique,unique,juˈnik,йуник,уникальный,wordnet,adj,прилагательное,11
unit,unit,ˈjunɪt,йунит,единица,wordnet,noun,существительное,14
united,united,juˈnaɪtɪd,йунайтид,объединенный,wordnet,verb,глагол,5
universally,universally,ˌjunəˈvərsəli,йунэвэрсли,универсально,wordnet,adv,наречие,2
universe,universe,ˈjunəˌvərs,йунэвэрс,вселенная,wordnet,noun,существительное,6
university,university,ˌjunəˈvərsəti,йунэвэрсэти,университет,wordnet,noun,существительное,1
unix,unix,ˈjunɪks,йуникс,Юникс,wordnet,noun,существительное,8
unleash,unleash,ənˈliʃ,нлиш,дать волю,wordnet,verb,глагол,1
unless,unless,ənˈlɛs,нлэс,пока не,wordnet,,,12
unlike,unlike,ənˈlaɪk,нлайк,в отличие от,wordnet,adj,прилагательное,23
unlock,unlock,ənˈlɑk,нлак,разблокировать,wordnet,verb,глагол,1
unmatched,unmatched,ənˈmæʧt,нмэчт,бесподобный,wordnet,adj,прилагательное,4
unnecessary,unnecessary,ənˈnɛsəˌsɛri,ннэсэсэри,ненужный,wordnet,adj,прилагательное,3
unofficial,unofficial,ˌənəˈfɪʃəl,нэфишл,неофициальный,wordnet,adj,прилагательное,1
unorganized,unorganized,əˈnɔrgəˌnaɪzd,эноргнайзд,неорганизованный,wordnet,adj,прилагательное,1
unpack,unpack,ənˈpæk,нпэк,распаковать,wordnet,verb,глагол,10
unpacking,unpacking,ənˈpækɪŋ,нпэкин,распаковка,wordnet,verb,глагол,29
unpaid,unpaid,ənˈpeɪd,нпэйд,неоплаченный,wordnet,adj,прилагательное,1
unpredictably,unpredictably,ˌənprɪˈdɪktəbli,нпридиктэбли,непредсказуемо,wordnet,adv,наречие,1
unreachable,unreachable,ənˈriʧəbəl,нричэбл,недостижимый,wordnet,adj,прилагательное,1
unrealistic,unrealistic,ənˌriˈlɪstɪk,нрилистик,нереально,wordnet,adj,прилагательное,1
unresolved,unresolved,ənrɪˈzɑlvd,нризалвд,нерешенный,wordnet,adj,прилагательное,2
unrolling,unrolling,ˌənˈroʊlɪŋ,нроулин,разворачивание,wordnet,verb,глагол,1
unsafe,unsafe,ənˈseɪf,нсэйф,небезопасный,wordnet,adj,прилагательное,3
unstructured,unstructured,ənˈstrəkʃərd,нстрэкшэрд,неструктурированный,wordnet,adj,прилагательное,3
unsuccessful,unsuccessful,ˌənsəkˈsɛsfəl,нсэксэсфл,неудачный,wordnet,adj,прилагательное,1
unsupported,unsupported,ənsəˈpɔrtɪd,нсэпортид,неподдерживаемый,wordnet,adj,прилагательное,2
unsure,unsure,ənˈʃʊr,ншур,неуверенный,wordnet,adj,прилагательное,1
unsurprising,unsurprising,ənsərˈpraɪzɪŋ,нсэрпрайзин,неудивительно,wordnet,adj,прилагательное,1
unsurprisingly,unsurprisingly,ˌənsərˈpraɪzɪŋli,нсэрпрайзинли,неудивительно,wordnet,,,3
untouched,untouched,ənˈtəʧt,нтэчт,нетронутый,wordnet,adj,прилагательное,1
unused,unused,ənˈjuzd,нйузд,неиспользованный,wordnet,adj,прилагательное,2
unwanted,unwanted,ənˈwɔntɪd,нуонтид,нежелательный,wordnet,adj,прилагательное,1
unwieldy,unwieldy,ənˈwildi,нуилди,громоздкий,wordnet,adj,прилагательное,1
unzip,unzip,ənˈzɪp,нзип,разархивировать,wordnet,verb,глагол,6
upcoming,upcoming,ˈəpˌkəmɪŋ,эпкмин,предстоящий,wordnet,adj,прилагательное,3
update,update,ˈəpˌdeɪt,эпдэйт,обновлять,wordnet,noun,существительное,7
updated,updated,ˈəpˌdeɪtɪd,эпдэйтид,обновлено,wordnet,verb,глагол,7
updating,updating,ˈəpˌdeɪtɪŋ,эпдэйтин,обновление,wordnet,noun,существительное,1
upgrade,upgrade,ˈəpˈgreɪd,эпгрэйд,обновление,wordnet,noun,существительное,1
upload,upload,ˈəˌploʊd,эплоуд,загрузить,wordnet,verb,глагол,5
uploaded,uploaded,ˈəˌploʊdɪd,эплоудид,загружено,wordnet,verb,глагол,1
uploading,uploading,ˈəˌploʊdɪŋ,эплоудин,загрузка,wordnet,verb,глагол,1
upon,upon,əˈpɑn,эпан,на,wordnet,,,8
